"ind_id";"year";"var";"denominator";"orgnr";"context"
"ablanor_dg";2020;834;856;974557746;"caregiver"
"ablanor_dg";2020;258;330;920248829;"caregiver"
"ablanor_dg";2020;1411;1490;874716782;"caregiver"
"ablanor_dg";2020;480;519;974749025;"caregiver"
"ablanor_dg";2020;227;239;974795787;"caregiver"
"ablanor_ki01_akutt_suksess";2020;709;771;974557746;"caregiver"
"ablanor_ki01_akutt_suksess";2020;258;259;920248829;"caregiver"
"ablanor_ki01_akutt_suksess";2020;1142;1252;874716782;"caregiver"
"ablanor_ki01_akutt_suksess";2020;438;470;974749025;"caregiver"
"ablanor_ki01_akutt_suksess";2020;198;216;974795787;"caregiver"
;;;;;
;;;;;
